Tweet_ID,Raw_text,Cleaned_text,Created_at,Sentiment,Annotation
741457887600345088,do you ever just make up scenarios in your head that you know will never happen but it makes you so happy so you just keep on imagining them,scenarios head happen happy imagining,6/11/2016 2:31:50,0.796308,S2_Feeling_Down
741443750308646912,"""oh ok"" actually means my heart just got ripped into a million pieces but i won't tell you because you wouldn’t care how i feel anyway.",heart ripped pieces care feel,6/11/2016 1:35:40,-0.468472,S6_Feeling_Bad_About_Yourself
738757407031975937,"i never really know where i stand in some people's life... one minute they treat me like i'm something special, then nothing the next.",stand people life minute treat,6/3/2016 15:41:05,-0.205795,S2_Feeling_Down
738638040126480384,the worst feeling is when you find out you didn't mean as much to someone as you thought you did and you look so stupid for caring too much.,worst feeling find thought stupid caring,6/3/2016 7:46:46,-0.763092,S2_Feeling_Down
738562725614256128,do you ever feel ok but your sad at the same time you just want to talk to someone and hug them but you feel annoying so you just stay quiet,feel sad time talk hug feel annoying stay quiet,6/3/2016 2:47:30,-0.728465,S6_Feeling_Bad_About_Yourself
736984340907724801,"i hate getting so sad to the point where my body completely shuts down, and all i can do is just lay there and think about all my problems.",hate sad point body completely shuts lay problems,5/29/2016 18:15:34,-0.90476,S6_Feeling_Bad_About_Yourself
736938164070154240,every night i think about all the mistakes i’ve made and how much i regret making those decisions because my life could have been different.,night mistakes ive regret making decisions life,5/29/2016 15:12:04,-0.759637,S6_Feeling_Bad_About_Yourself
736926960220143619,"the worst type of crying is at night, when everyone's asleep and you have to control it with your hand over your mouth to not make a sound.",worst type crying night asleep control hand mouth sound,5/29/2016 14:27:33,-0.778574,S3_Sleep_Disorder
736832828835405829,"i hate the fact that i cry when i'm angry and that's the worst thing ever, because you're trying to act tough and mean but instead you cry.",hate fact cry angry worst thing tough cry,5/29/2016 8:13:30,-0.922457,S6_Feeling_Bad_About_Yourself
734387620378226688,"sometimes it's better to keep silent than to tell others how you feel because it hurts knowing they can hear you, but not understand you.",silent feel hurts knowing hear understand,5/22/2016 14:17:07,-0.667376,S2_Feeling_Down
734292422335696896,i hate getting flashbacks from things you don't want to remember. it feels like your heart suddenly drops and anxiety starts taking you over,hate flashbacks things remember feels heart suddenly drops anxiety starts,5/22/2016 7:58:50,-0.909929,Other
734235045301387264,"i truly feel like everything i say or do is always wrong, like i'm a total disappointment to everyone, and all i ever do is let people down.",feel wrong total disappointment people,5/22/2016 4:10:50,-0.806634,S2_Feeling_Down
734003686309957633,"i'm sorry i have trust issues, but when you give someone everything and they toss it away like nothing, something inside of you breaks.",trust issues toss breaks,5/21/2016 12:51:30,-0.57528,S2_Feeling_Down
733664211218243584,"do you ever feel physically sick because you know you're not good enough for anyone and can't do anything right, no matter how hard you try.",feel physically sick good matter,5/20/2016 14:22:33,-0.839394,S6_Feeling_Bad_About_Yourself
733651693775118336,"i need someone who will understand how unstable i am, sometimes being alone can be dangerous for me but other times its exactly what i need.",understand unstable dangerous times,5/20/2016 13:32:49,-0.628338,S6_Feeling_Bad_About_Yourself
733640066031968256,"""are you ok?""
""i'm not ok, but it's ok""",,5/20/2016 12:46:36,0,S2_Feeling_Down
733611982213939200,"i'm just so tired of this. my body is tired, my mind is a mess. i just really want to lay in bed and never get up. i'm just so tired of life",tired body tired mind mess lay bed tired life,5/20/2016 10:55:01,-0.85369,S4_lassitute
729512558638432256,"sometimes it's better to keep silent than to tell others how you feel because it hurts knowing they can hear you, but not understand you.",silent feel hurts knowing hear understand,5/9/2016 3:25:22,-0.667376,S2_Feeling_Down
725515021095034880,"i don't tweet for sympathy, or attention, i tweet to express myself. this is my outlet where i can say how i'm feeling without being judged.",tweet sympathy attention tweet express outlet feeling judged,4/28/2016 2:40:35,-0.55077,Other
724922123903492097,please don't expect me to always be good and kind and loving there are times when i'll be cold and thoughtless and really hard to understand,expect good kind loving times cold thoughtless understand,4/26/2016 11:24:37,0,Other
