Tweet_ID,Raw_text,Cleaned_text,Created_at,Sentiment,Annotation
757688550141923328,"RT @cutsandslits: I've been crying for the past few hours now, my eyes are sore, my head hurts, I'm tired and I feel fucking sick to my sto…",crying hours eyes sore head hurts tired feel fucking sick sto,7/25/2016 21:26:42,-0.3528571429,S6_Feeling_Bad_About_Yourself
757688481187520512,"RT @cutsandslits: I don't want to be alive anymore, why is killing yourself so hard to do",alive killing,7/25/2016 21:26:25,-0.0958333333,S9_Suicidal_Thoughts
757686338468577280,I hate them,hate,7/25/2016 21:17:54,-0.8,S2_Feeling_Down
755788618724179968,If you had the chance to kill yourself no pain or blood involved would u do it?,chance kill pain blood involved,7/20/2016 15:37:03,0,S9_Suicidal_Thoughts
746458109363757056,What if I died tomorrow?,died tomorrow,6/24/2016 21:40:56,0,S9_Suicidal_Thoughts
746450416142008321,Do you want to die?,die,6/24/2016 21:10:22,0,S9_Suicidal_Thoughts
746445024477470720,I'm falling apart....,falling,6/24/2016 20:48:56,0,S2_Feeling_Down
744947547370831873,"34.598 suicides a year
94 suicides a day
One suicide attempt every 38 seconds
Be kind to everyone and you could save a life.",34 598 suicides year94 suicides dayone suicide attempt 38 secondsbe kind life,6/20/2016 17:38:30,0.6,S9_Suicidal_Thoughts
744940763520372736,"""My depression came back. I´m scared.""",depression scared,6/20/2016 17:11:33,0,S6_Feeling_Bad_About_Yourself
744934816357965824,RT @depresseddemons: You make me wanna kill myself just for the fucking fun,kill fucking fun,6/20/2016 16:47:55,0.3,S9_Suicidal_Thoughts
744912932711047168,"""Someone please sing this lovesick melody
call my name if you're afraid
I'm just a kiss away.""",sing lovesick melodycall afraidi'm kiss,6/20/2016 15:20:57,-0.6,Other
744911407179796480,She's just acting like a child for god's sake -.-,acting child god's sake,6/20/2016 15:14:53,0,Other
744911232092733440,Why is she so stupid? -.-,stupid,6/20/2016 15:14:12,-0.8,Other
744292761881485313,I really love him :3,love,6/18/2016 22:16:37,0.5,Other
744289547257810948,"""For those who have fallen in darkness, their only escape is with the help of those who've remained in the light.""-my boyfriend (again xD)",fallen darkness escape who've remained light boyfriend xd,6/18/2016 22:03:50,0.2,Other
744289284828573697,"""Suicide is not the end of pain,but a new start of pain,sadness,guilt and regret for those who truly love and care for you...""-my boyfriend",suicide end pain start pain sadness guilt regret love care boyfriend,6/18/2016 22:02:48,0.3181818182,S9_Suicidal_Thoughts
744287256958087168,"I'm 2 months clean, no cutting or smoking...I'm fine",months clean cutting smoking fine,6/18/2016 21:54:44,0.3611111111,S9_Suicidal_Thoughts
744287127198904320,"I never thought I would say this, but.....I'm happy",thought happy,6/18/2016 21:54:13,0.8,Other
743452796226248704,I didn’t want to write. I wanted to scream.,didnt write wanted scream,6/16/2016 14:38:53,0,S2_Feeling_Down
741387093902000128,"""I'm gonna cut myself and watch the blood hit the ground.""",cut watch blood hit ground,6/10/2016 21:50:32,0,S9_Suicidal_Thoughts
741384187253522433,@keys_benjamen talk on dm please,talk dm,6/10/2016 21:38:59,0,Other
733988462873956352,I really dont know what to do anymore...,dont,5/21/2016 11:51:01,0.2,S7_Concentration_Problems
733982024520871936,@keys_benjamen hi,,5/21/2016 11:25:26,0,Other
731574524043534338,"-I miss you
-Haha, next lie?",youhaha lie,5/14/2016 19:58:53,0.1,Other
